Spoiler,ReleaseOrder,TimelineOrder,Series,Episode,Title,Notes,Recommendation,Rating
N,01,02,TOS,1x18,The Squire of Gothos,"<span style='color:goldenrod'>(Brief, retconned appearance; energy form only)</span> <span id='SquireNotes' style='cursor:help;color:#C0C0C0;text-decoration:underline dotted;'>More info💬</span><br>Q punishes Trelane for meddling with the Enterprise crew",-,Not Yet Rated
N,02,03,TNG,1x01/02,Encounter at Farpoint,Q puts humanity on trial,🕶 Must Watch,5.5
N,03,04,TNG,1x10,Hide And Q,Q tests Riker by giving him the powers of the Q,-,4.8
N,04,05,TNG,2x16,Q Who,Q introduces humanity to the Borg,🕶 Must Watch,8.4
N,05,06,TNG,3x13,Deja Q,Q is banished to the Enterprise when the continuum takes his powers away,✔ Recommended,6.6
N,06,07,TNG,4x20,Qpid,Q forces the Enterprise crew to participate in a Robin Hood re-creation,✔ Recommended,4.5
N,07,08,TNG,6x06,True Q,Q visits the Enterprise to evaluate whether a young woman truly possesses the powers of the Q,✔ Recommended,5.4
N,08,09,DS9,1x07,Q-Less,Q causes mischief on DS9 when he returns from the Gamma Quadrant with Vash,-,4.1
N,09,10,TNG,6x15,Tapestry,Q gives Picard a chance to rewrite his own history and to fix past regrets,✔ Recommended,8.5
N,10,11,TNG,7x25/26,All Good Things...,Q takes Picard on a journey across time to prevent the annihilation of humanity,🕶 Must Watch,9.7
N,11,12,VOY,2x18,Death Wish,"When another Q escapes captivity and wishes to end his life, Q arrives to prevent it",✔ Recommended,7.8
N,12,13,VOY,3x11,The Q and the Grey,Q entreaties Janeway to mate with him so they might have a child that could end a Q civil war,✔ Recommended,4.7
N,13,14,VOY,7x19,Q2,"Q leaves his son on Voyager, hoping he'll gain a sense of self-discipline",-,5.2
N,14,15,LOW,1x08,Veritas,"Q appears briefly in a flashback to toy with the crew of the Cerritos, and again later only to be dismissed by Mariner",-,Not Yet Rated
N,15,16,PIC,2x01,The Star Gazer<sup> ‡</sup>,A brief appearance at the end of the episode to tell Picard that the &ldquo;trial never ends&rdquo;,-,7.0
N,16,17,PIC,2x02,Penance<sup> ‡</sup>,Q introduces Picard to his new reality and disappears to leave him to explore,🕶 Must Watch,5.7
N,17,18,PIC,2x03,Assimilation<sup> ‡</sup>,Q appears only for a moment to taunt Picard,-,5.7
N,18,19,PIC,2x04,Watcher<sup> ‡</sup>,Q appears at the end just to snap his fingers at Renée Picard,-,5.3
N,19,20,PIC,2x05,Fly Me to the Moon<sup> ‡</sup>,Q poses as Renée's therapist and also gives Soong incentive to help him stop Renée from going on her mission,-,3.9
N,20,21,PIC,2x06,Two of One<sup> ‡</sup>,"(flashback, archive footage) Only Soong's memory of his dealings with Q",-,5.4
N,21,22,PIC,2x08,Mercy<sup> ‡</sup>,Q visits Kore as a simulation and also visits Guinan in the clink,-,3.5
N,22,23,PIC,2x10,Farewell<sup> ‡</sup>,Q's swan song,🕶 Must Watch,7.3
Y,23,24,PIC,3x10,The Last Generation<sup> ‡</sup>,SPOILER! Q appears for a moment in a post-credits scene to taunt Jack Crusher,-,7.1
N,24,01,SNW,3x02,Wedding Bell Blues,<span style='color:goldenrod'>(Brief appearance; energy form only)</span><br>Q punishes Trelane for meddling with the Enterprise crew,-,Not Yet Rated
